"REF_DATE","GEO","DGUID","Airports","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Kelowna, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376028017","1.100.2","327","","","","0"
"2022-01","Canada","2021A000011124","Kelowna, British Columbia","Other commercial movements","Number","223","units","0","v1376028018","1.100.3","319","","","","0"
"2022-01","Canada","2021A000011124","Kelowna, British Columbia","Private movements","Number","223","units","0","v1376028019","1.100.4","469","","","","0"
"2022-01","Canada","2021A000011124","Kelowna, British Columbia","Government civil movements","Number","223","units","0","v1376028020","1.100.5","46","","","","0"
"2022-01","Canada","2021A000011124","Kelowna, British Columbia","Government military movements","Number","223","units","0","v1376028021","1.100.6","8","","","","0"
"2022-01","Canada","2021A000011124","Kenora, Ontario","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376028022","1.101.1","205","","","","0"
"2022-01","Canada","2021A000011124","Kenora, Ontario","Air carrier movements, level IV-VI","Number","223","units","0","v1376028023","1.101.2","107","","","","0"
"2022-01","Canada","2021A000011124","Kenora, Ontario","Other commercial movements","Number","223","units","0","v1376028024","1.101.3","72","","","","0"
"2022-01","Canada","2021A000011124","Kenora, Ontario","Private movements","Number","223","units","0","v1376028025","1.101.4","4","","","","0"
"2022-01","Canada","2021A000011124","Kenora, Ontario","Government civil movements","Number","223","units","0","v1376028026","1.101.5","","..","","","0"
"2022-01","Canada","2021A000011124","Kenora, Ontario","Government military movements","Number","223","units","0","v1376028027","1.101.6","12","","","","0"
